sleeve,n_total,n_train,wr_train,dpt_train,sum_train,n_val,wr_val,dpt_val,sum_val,n_lockbox,wr_lockbox,dpt_lockbox,sum_lockbox,wr_full,dpt_full,sum_full,dd_lockbox,loss_streak_lockbox,dd_full,loss_streak_full,sharpe_lockbox,bootstrap_p_lockbox,bootstrap_p_full,min_split_dpt,stable_3split,composite,proj_28d_const25
V6+g_ETH_tr_stack_with+g_BTC_adx_strong+g_BTC_vol_low,35,16,0.6875,2.1190442979469424,33.90470876715108,3,1.0,17.26747080749631,51.80241242248893,16,0.9375,12.175454648255613,194.8072743720898,0.8285714285714286,8.014697016049421,280.51439556172977,25.0,1,75.0,3,12.990103990671106,0.033,0.03,2.1190442979469424,True,48.70181859302245,240.69163093036846
V6+g_BTC_tr_stack_with+g_BTC_adx_strong+g_BTC_vol_low,34,15,0.7333333333333333,2.745726741139373,41.185901117090594,3,1.0,17.26747080749631,51.80241242248893,16,0.9375,12.175454648255613,194.8072743720898,0.8529411764705882,8.464576115049098,287.7955879116693,25.0,1,60.97699797856785,2,12.990103990671106,0.033,0.033,2.745726741139373,True,48.70181859302245,246.93916078820425
V6+g_ETH_slope_with+g_ETH_adx_strong,46,27,0.6666666666666666,2.589228283669529,69.90916365907728,4,0.75,3.578413214723144,14.313652858892576,15,0.9333333333333333,12.163923583791735,182.45885375687604,0.7608695652173914,5.797427614670562,266.6816702748459,25.0,1,106.0820295489323,2,10.716092226686225,0.041,0.078,2.589228283669529,True,47.11067346456503,228.82264572964579
V6+g_BTC_slope_strong_with,80,52,0.6923076923076923,3.3179881228164327,172.5353823864545,10,0.8,6.413705256234806,64.13705256234806,18,0.8888888888888888,10.776395316634066,193.97511569941318,0.75,5.383094383102696,430.64755064821566,38.47058861426828,1,125.3985149050697,5,9.920032825675657,0.033,0.04,3.3179881228164327,True,45.720373230833395,369.51137967134247
V6+g_BTC_slope_with+g_BTC_slope_strong_with,80,52,0.6923076923076923,3.3179881228164327,172.5353823864545,10,0.8,6.413705256234806,64.13705256234806,18,0.8888888888888888,10.776395316634066,193.97511569941318,0.75,5.383094383102696,430.64755064821566,38.47058861426828,1,125.3985149050697,5,9.920032825675657,0.033,0.04,3.3179881228164327,True,45.720373230833395,369.51137967134247
V6+g_BTC_adx_strong+g_ETH_adx_strong+g_ETH_vol_low,46,19,0.6842105263157895,3.2274021690331147,61.32064121162918,5,0.8,6.655153821671479,33.275769108357395,22,0.9090909090909091,10.671916365774187,234.7821600470321,0.8043478260869565,7.160403703630841,329.3785703670187,25.0,1,114.47617973499034,4,21.128450877636446,0.0,0.001,3.2274021690331147,True,50.05572470954483,282.6188835563873
V6+g_BTC_adx_strong+g_ETH_adx_strong+g_BTC_vol_low,51,27,0.7037037037037037,3.723570822392037,100.536412204585,4,0.75,4.800816601491768,19.20326640596707,20,0.9,10.355143856766237,207.10287713532472,0.7843137254901961,6.408677563644642,326.8425557458767,25.0,1,114.47617973499032,4,25.66656823947202,0.0,0.026,3.723570822392037,True,46.3096111610373,280.4428900783926
V6+g_BTC_adx_strong+g_ETH_vol_low,64,29,0.7586206896551724,4.90335082061099,142.19717379771873,6,0.8333333333333334,8.253924515117367,49.5235470907042,29,0.8275862068965517,7.912362449009373,229.45851102127182,0.796875,6.5809254985889805,421.17923190969475,100.0,4,114.47617973499032,4,13.84717896145272,0.025,0.003,4.90335082061099,True,42.60937580169785,361.3872152241683
V6+g_BTC_adx_strong+g_BTC_vol_low,74,37,0.7567567567567568,4.903052561910122,181.41294479067452,5,0.8,7.090208877662778,35.45104438831389,32,0.8125,7.509036338981899,240.28916284742076,0.7837837837837838,6.1777452976541785,457.1531520264092,100.0,4,114.47617973499032,4,25.06534180572895,0.0,0.007,4.903052561910122,True,42.477524123762464,392.25415695994593
V6+g_ETH_tr_stack_with+g_BTC_vol_low+g_ETH_vol_low,70,35,0.5714285714285714,-2.1212867152179196,-74.24503503262719,14,0.5,-5.881207308036998,-82.33690231251798,21,0.9523809523809523,12.973961030537973,272.4531816412974,0.6714285714285714,1.655303489945033,115.87124429615231,25.0,1,227.2204652393347,5,25.990748883990605,0.0,0.322,-5.881207308036998,False,59.454158485847536,99.42177374435235
