cell_id,sleeve_id,signal,hour_bucket,dow_group,asset,family,n_full,pnl_keep_full,pnl_invert_full,win_keep_full,win_invert_full,n_train,pnl_keep_train,pnl_invert_train,win_keep_train,win_invert_train,n_val,pnl_keep_val,pnl_invert_val,win_keep_val,win_invert_val,n_held,pnl_keep_held,pnl_invert_held,win_keep_held,win_invert_held,n_last_7d,pnl_keep_last_7d,pnl_invert_last_7d,win_keep_last_7d,win_invert_last_7d,n_last_3d,pnl_keep_last_3d,pnl_invert_last_3d,win_keep_last_3d,win_invert_last_3d,action,window_score,full_pnl_action,deploy_pnl_full,perm_p_full,perm_p_held,perm_full_observed,perm_full_p95
poly_updown_btc_15m_volume_INV_NIGHT|UP|06-11|weekday,poly_updown_btc_15m_volume_INV_NIGHT,UP,06-11,weekday,BTC,volume_INV_NIGHT,75,-915.32133416,810.5087743924879,0.2666666666666666,0.7333333333333333,40,-620.72373288,565.518309917539,0.2,0.8,8,-7.690812640000004,-5.843137254901976,0.5,0.5,27,-286.90678864000006,250.83360172985107,0.2962962962962963,0.7037037037037037,54,-678.1083085999999,598.5612987685766,0.2592592592592592,0.7407407407407407,27,-286.90678864000006,250.83360172985107,0.2962962962962963,0.7037037037037037,INVERT,4,810.5087743924879,810.5087743924879,0.0,0.019,810.5087743924879,324.4173918141134
poly_updown_btc_5m_momo_v2_SELL|UP|12-17|weekday,poly_updown_btc_5m_momo_v2_SELL,UP,12-17,weekday,BTC,momo_v2_SELL,128,153.37131892000002,620.927324537478,0.3828125,0.6171875,74,259.29056236,-191.89255152615496,0.527027027027027,0.4729729729729729,17,84.61838272000001,19.539215686274503,0.4705882352941176,0.5294117647058824,37,-190.53762616,793.2806603773583,0.054054054054054,0.945945945945946,110,107.04030528,685.8613545886018,0.3545454545454545,0.6454545454545455,37,-190.53762616,793.2806603773583,0.054054054054054,0.945945945945946,INVERT,4,620.927324537478,620.927324537478,0.012,0.0,620.927324537478,450.3926115050128
poly_updown_btc_5m_momo_v2_SELL|DOWN|12-17|weekday,poly_updown_btc_5m_momo_v2_SELL,DOWN,12-17,weekday,BTC,momo_v2_SELL,93,-79.80167437999998,570.6598546714323,0.3333333333333333,0.6666666666666666,38,25.35819066,34.724693961543856,0.4473684210526316,0.5526315789473685,18,-106.082466,396.4751384185347,0.0,1.0,37,0.9226009600000112,139.46002229135385,0.3783783783783784,0.6216216216216216,75,-130.45241974,643.8070022542616,0.28,0.72,37,0.9226009600000112,139.46002229135385,0.3783783783783784,0.6216216216216216,INVERT,5,570.6598546714323,570.6598546714323,0.003,0.147,570.6598546714323,371.7220463910265
poly_updown_eth_5m_volume_INV_NIGHT|UP|00-05|weekend,poly_updown_eth_5m_volume_INV_NIGHT,UP,00-05,weekend,ETH,volume_INV_NIGHT,133,555.86392866,-750.1339771976031,0.6090225563909775,0.3909774436090225,54,142.22107454,-216.0157123888655,0.5740740740740741,0.4259259259259259,79,413.64285412,-534.1182648087376,0.6329113924050633,0.3670886075949367,0,0.0,0.0,0.0,0.0,79,413.64285412,-534.1182648087376,0.6329113924050633,0.3670886075949367,51,358.9055019,-423.8776242166485,0.6666666666666666,0.3333333333333333,KEEP,4,555.86392866,555.86392866,0.02,1.0,555.86392866,433.702543362
poly_updown_btc_15m_volume_INV_NIGHT|DOWN|00-05|weekday,poly_updown_btc_15m_volume_INV_NIGHT,DOWN,00-05,weekday,BTC,volume_INV_NIGHT,118,538.5622658199999,-696.5099871468543,0.6016949152542372,0.3983050847457627,78,454.86881982,-558.51983869708,0.6282051282051282,0.3717948717948718,0,0.0,0.0,0.0,0.0,40,83.693446,-137.99014844977438,0.55,0.45,89,423.87984694,-543.7279938469392,0.6067415730337079,0.3932584269662921,40,83.693446,-137.99014844977438,0.55,0.45,KEEP,4,538.5622658199999,538.5622658199999,0.019,0.305,538.5622658199999,430.12697957999995
poly_updown_btc_5m_volume_INV_NIGHT|DOWN|06-11|weekday,poly_updown_btc_5m_volume_INV_NIGHT,DOWN,06-11,weekday,BTC,volume_INV_NIGHT,159,520.7695048600001,-733.7637205098713,0.5723270440251572,0.4276729559748428,89,438.97282866,-546.1817176071136,0.6067415730337079,0.3932584269662921,28,-107.92156015999996,58.290275761973845,0.4285714285714285,0.5714285714285714,42,189.71823636,-245.87227866473157,0.5952380952380952,0.4047619047619047,113,482.51490508000006,-645.146589259797,0.5929203539823009,0.4070796460176991,42,189.71823636,-245.87227866473157,0.5952380952380952,0.4047619047619047,KEEP,4,520.7695048600001,520.7695048600001,0.043,0.141,520.7695048600001,508.561590922
poly_updown_btc_5m_volume_INV_NIGHT|UP|06-11|weekday,poly_updown_btc_5m_volume_INV_NIGHT,UP,06-11,weekday,BTC,volume_INV_NIGHT,185,-767.88005456,510.78692412451767,0.4324324324324324,0.5675675675675675,109,-312.0843791599999,163.05911227328113,0.4587155963302752,0.5412844036697247,13,-134.95754642,114.3731683535584,0.3076923076923077,0.6923076923076923,63,-320.8381289799998,233.35464349767813,0.4126984126984127,0.5873015873015873,132,-744.6211213999999,563.1786480442191,0.4015151515151515,0.5984848484848485,63,-320.8381289799998,233.35464349767813,0.4126984126984127,0.5873015873015873,INVERT,5,510.78692412451767,510.78692412451767,0.074,0.108,510.78692412451767,581.5452781481433
poly_updown_eth_5m_volume_INV_NIGHT|UP|06-11|weekday,poly_updown_eth_5m_volume_INV_NIGHT,UP,06-11,weekday,ETH,volume_INV_NIGHT,160,-728.0329010400001,509.1422214901588,0.43125,0.56875,97,-392.16926656,239.0147960760416,0.4432989690721649,0.5567010309278351,14,-60.81323295999999,47.97567392185462,0.4285714285714285,0.5714285714285714,49,-275.05040152,222.15175149226255,0.4081632653061224,0.5918367346938775,108,-503.29936918,382.8261646186052,0.4259259259259259,0.5740740740740741,49,-275.05040152,222.15175149226255,0.4081632653061224,0.5918367346938775,INVERT,5,509.1422214901588,509.1422214901588,0.049,0.123,509.14222149015876,499.70829436715513
poly_updown_sol_15m_volume_INV_NIGHT|UP|06-11|weekday,poly_updown_sol_15m_volume_INV_NIGHT,UP,06-11,weekday,SOL,volume_INV_NIGHT,66,-571.1949115599999,473.4627242575805,0.3484848484848485,0.6515151515151515,39,-469.41394116,419.8178720731796,0.282051282051282,0.717948717948718,4,91.49951104,-100.0,1.0,0.0,23,-193.28048144,153.64485218440095,0.3478260869565217,0.6521739130434783,46,-444.35955298000016,373.66429188372473,0.3260869565217391,0.6739130434782609,23,-193.28048144,153.64485218440095,0.3478260869565217,0.6521739130434783,INVERT,4,473.4627242575805,473.4627242575805,0.013,0.11,473.4627242575805,342.5412688723287
poly_mint_sell_btc_5m|nan|12-17|weekend,poly_mint_sell_btc_5m,,12-17,weekend,BTC,5m,1945,465.31909505,0.0,0.5850899742930591,0.4149100257069408,0,0.0,0.0,0.0,0.0,1185,274.13238005000005,0.0,0.5637130801687764,0.4362869198312236,760,191.186715,0.0,0.618421052631579,0.3815789473684211,1945,465.31909505,0.0,0.5850899742930591,0.4149100257069408,760,191.186715,0.0,0.618421052631579,0.3815789473684211,KEEP,4,465.31909505,465.31909505,0.0,0.0,465.31909505,22.034216545
