offset,direction,gates,train_n,train_wr,train_dpt,val_n,val_wr,val_dpt,lock_n,lock_wr,lock_dpt,lock_dd,lock_streak,lock_days,lock_sharpe,sum_25_28d,bootstrap_p,gate_stack_str
600,DOWN,"['g_tr_stack_full_with', 'g_trend_slope_with']",57,0.8070175438596491,3.599851585269212,22,0.7727272727272727,1.7647616029919369,17,0.8823529411764706,6.161300990348299,25.0,1,4,42.124642101064865,733.1948178514476,0.001,g_tr_stack_full_with+g_trend_slope_with
600,DOWN,"['g_tr_stack_with', 'g_trend_slope_with']",57,0.8070175438596491,3.599851585269212,22,0.7727272727272727,1.7647616029919369,17,0.8823529411764706,6.161300990348299,25.0,1,4,42.124642101064865,733.1948178514476,0.001,g_tr_stack_with+g_trend_slope_with
600,DOWN,"['g_mp_skew_strong_with', 'g_tr_stack_full_with']",85,0.8235294117647058,3.2541801971115145,27,0.7407407407407407,-0.0062693166482314525,16,0.9375,8.391346170774503,25.0,1,4,41.28996920657923,939.8307711267443,0.001,g_mp_skew_strong_with+g_tr_stack_full_with
600,DOWN,"['g_mp_skew_strong_with', 'g_tr_stack_with']",85,0.8235294117647058,3.2541801971115145,27,0.7407407407407407,-0.0062693166482314525,16,0.9375,8.391346170774503,25.0,1,4,41.28996920657923,939.8307711267443,0.001,g_mp_skew_strong_with+g_tr_stack_with
600,DOWN,"['g_mp_skew_with', 'g_tr_stack_full_with']",85,0.8235294117647058,3.2541801971115145,27,0.7407407407407407,-0.0062693166482314525,16,0.9375,8.391346170774503,25.0,1,4,41.28996920657923,939.8307711267443,0.001,g_mp_skew_with+g_tr_stack_full_with
600,DOWN,"['g_mp_skew_with', 'g_tr_stack_with']",85,0.8235294117647058,3.2541801971115145,27,0.7407407407407407,-0.0062693166482314525,16,0.9375,8.391346170774503,25.0,1,4,41.28996920657923,939.8307711267443,0.001,g_mp_skew_with+g_tr_stack_with
600,DOWN,"['g_rf_with', 'g_tr_above_ema800']",262,0.6946564885496184,1.9367413256506558,107,0.6261682242990654,-2.8414157583973223,58,0.7586206896551724,3.998424924456701,58.83753981697802,2,4,36.387212196020535,1623.3605193294206,0.001,g_rf_with+g_tr_above_ema800
600,DOWN,"['g_mp_skew_strong_with', 'g_tr_above_ema800']",282,0.6985815602836879,1.9743345473911593,94,0.7127659574468085,0.38614471606130174,48,0.75,4.20688670962167,75.0,3,4,21.718160974476614,1413.5139344328811,0.001,g_mp_skew_strong_with+g_tr_above_ema800
600,DOWN,"['g_mp_skew_with', 'g_tr_above_ema800']",282,0.6985815602836879,1.9743345473911593,94,0.7127659574468085,0.38614471606130174,48,0.75,4.20688670962167,75.0,3,4,21.718160974476614,1413.5139344328811,0.001,g_mp_skew_with+g_tr_above_ema800
600,DOWN,"['g_mp_skew_strong_with', 'g_tr_above_ema200']",276,0.6340579710144928,1.893235551508296,93,0.6559139784946236,1.6008006501581007,48,0.7916666666666666,8.027982669334705,96.65909075823203,3,4,21.394441465762498,2697.402176896461,0.001,g_mp_skew_strong_with+g_tr_above_ema200
600,DOWN,"['g_mp_skew_with', 'g_tr_above_ema200']",276,0.6340579710144928,1.893235551508296,93,0.6559139784946236,1.6008006501581007,48,0.7916666666666666,8.027982669334705,96.65909075823203,3,4,21.394441465762498,2697.402176896461,0.001,g_mp_skew_with+g_tr_above_ema200
600,DOWN,"['g_mp_skew_strong_with', 'g_ribbon_agrees']",254,0.6141732283464567,1.6530276021773285,96,0.6041666666666666,-0.4423807168298186,48,0.75,6.9366720471104815,96.65909075823205,3,4,20.072801792204903,2330.7218078291216,0.001,g_mp_skew_strong_with+g_ribbon_agrees
600,DOWN,"['g_mp_skew_with', 'g_ribbon_agrees']",254,0.6141732283464567,1.6530276021773285,96,0.6041666666666666,-0.4423807168298186,48,0.75,6.9366720471104815,96.65909075823205,3,4,20.072801792204903,2330.7218078291216,0.001,g_mp_skew_with+g_ribbon_agrees
480,UP,"['g_regime_stack_with', 'g_tr_stack_full_with']",83,0.7831325301204819,3.027339576072769,26,0.6923076923076923,-0.26175328190428304,24,0.7916666666666666,5.710476423637001,65.93835704128429,2,4,19.652984892624154,959.3600391710162,0.001,g_regime_stack_with+g_tr_stack_full_with
480,UP,"['g_regime_stack_with', 'g_tr_stack_with']",83,0.7831325301204819,3.027339576072769,26,0.6923076923076923,-0.26175328190428304,24,0.7916666666666666,5.710476423637001,65.93835704128429,2,4,19.652984892624154,959.3600391710162,0.001,g_regime_stack_with+g_tr_stack_with
600,DOWN,"['g_rf_strong', 'g_vwap_premium']",147,0.7006802721088435,1.5215842863372042,57,0.7017543859649122,1.6466753528676883,31,0.7741935483870968,4.883234977166611,100.0,4,4,19.62126318716437,1059.6619900451544,0.001,g_rf_strong+g_vwap_premium
600,DOWN,"['g_cci_with', 'g_tr_above_ema800']",277,0.703971119133574,2.222422821022322,111,0.6396396396396397,-2.0731687728256736,60,0.7666666666666667,4.733428648362961,58.505290816821,1,4,22.05664028146076,1988.0400323124436,0.004,g_cci_with+g_tr_above_ema800
600,DOWN,"['g_bb_pos_with', 'g_tr_above_ema800']",278,0.697841726618705,1.9805575276792826,110,0.6454545454545455,-1.8647430343968159,58,0.7586206896551724,4.3066488945807775,58.505290816821,1,4,20.733799122053053,1748.4994511997957,0.004,g_bb_pos_with+g_tr_above_ema800
600,DOWN,"['g_tr_above_ema50', 'g_tr_above_ema800']",321,0.6853582554517134,2.5262973968379394,114,0.6578947368421053,-1.2569474910746394,64,0.765625,6.25533223994318,50.0,2,4,20.125014512758828,2802.3888434945447,0.004,g_tr_above_ema50+g_tr_above_ema800
480,UP,"['g_di_agrees', 'g_tr_stack_full_with']",78,0.7948717948717948,3.731281794156465,33,0.7272727272727273,0.7832959344353814,22,0.7727272727272727,5.509880477164457,75.0,3,4,15.496694015762579,848.5215934833265,0.024,g_di_agrees+g_tr_stack_full_with
480,UP,"['g_di_agrees', 'g_tr_stack_with']",78,0.7948717948717948,3.731281794156465,33,0.7272727272727273,0.7832959344353814,22,0.7727272727272727,5.509880477164457,75.0,3,4,15.496694015762579,848.5215934833265,0.024,g_di_agrees+g_tr_stack_with
480,DOWN,"['g_vol_high', 'g_vwap_premium']",111,0.7027027027027027,1.6057345430536631,25,0.6,-1.7148536305827435,21,0.8095238095238095,6.046384325535628,39.561757104956314,1,4,13.16619175501077,888.8184958537373,0.062,g_vol_high+g_vwap_premium
360,DOWN,"['g_rf_in_band', 'g_rf_with']",87,0.6206896551724138,4.354523761568797,25,0.68,0.16145244401014375,12,0.75,12.66670972570045,65.35652855525962,2,4,10.87648985943984,1064.0036169588377,0.12,g_rf_in_band+g_rf_with
120,DOWN,"['g_tr_stack_full_with', 'g_vol_high']",64,0.703125,2.5131023069192597,19,0.7894736842105263,5.004586893401255,12,0.75,4.957619042213154,25.0,1,4,10.493261152099173,416.439999545905,0.129,g_tr_stack_full_with+g_vol_high
120,DOWN,"['g_tr_stack_with', 'g_vol_high']",64,0.703125,2.5131023069192597,19,0.7894736842105263,5.004586893401255,12,0.75,4.957619042213154,25.0,1,4,10.493261152099173,416.439999545905,0.129,g_tr_stack_with+g_vol_high
