n_full,wr_full,sum_pnl_full,dpt_full_25,n_train,wr_train,dpt_train_25,sum_pnl_train,n_val,wr_val,dpt_val_25,sum_pnl_val,n_lock,wr_lock,dpt_lock_25,sum_pnl_lock,max_dd_25,loss_streak,sharpe_daily,fires_per_day,bootstrap_p,boot_ci_lo_$25,boot_ci_hi_$25,days_lock,passes_v6,fails,sleeve_id,gate_stack,cohort,n_gates
75,0.7466666666666667,656.6277906963774,8.755037209285032,46,0.6956521739130435,7.261177888864347,334.01418288775994,10,0.8,8.784426811912013,87.84426811912013,19,0.8421052631578947,12.356281036289332,234.76933968949731,100.0,4,11.617219806033113,3.75,0.0,93.7258184059807,375.812860973014,4,True,,V6_S1_VWAP_1065,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_entry_vwap_in_10_65,HUR22,5
52,0.75,320.36291763284896,6.1608253390932495,31,0.7096774193548387,5.398892549205304,167.36566902536444,6,0.5,-3.670493166527885,-22.022958999167308,15,0.9333333333333333,11.668013840443454,175.0202076066518,50.0,2,6.713620093961169,2.6,0.0,103.28159955980021,246.7588156535034,4,True,,V6_S1_PW_MULTI_TF,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_pw_multi_tf_align_with,HUR22,5
41,0.8048780487804879,317.58361480769855,7.745941824578013,25,0.8,9.178972738764612,229.4743184691153,6,0.5,-4.3419500750226545,-26.051700450135925,10,1.0,11.416099678871923,114.16099678871923,60.96563374821619,3,9.256975369466213,2.1578947368421053,0.0,53.29609331298389,186.19200132681183,4,True,,V6_HIQ_TR_VOL_F7_RSI,g_tr_stack_full_with&g_vol_high&g_above_1h_dailyvwap_with&g_offset_early&g_pw_f7_rsi_momentum_with&g_pw_trend_slope_with,HUR22,6
63,0.8095238095238095,542.5361065234772,8.611684230531385,38,0.7894736842105263,9.245078554919223,351.3129850869305,7,0.5714285714285714,-1.6648089511995963,-11.653662658397174,18,0.9444444444444444,11.270932449719114,202.87678409494404,60.96563374821619,2,10.746098076263362,3.0,0.0,92.1945040065677,328.25385798748846,4,True,,V6_S1_PW_TREND_SLOPE,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_pw_trend_slope_with,HUR22,5
37,0.7837837837837838,253.4782078967125,6.850762375586824,23,0.782608695652174,7.996993019428492,183.93083944685532,6,0.5,-3.37812468851392,-20.26874813108352,8,1.0,11.227014572617584,89.81611658094067,55.18268142916381,3,8.315476986973843,2.0555555555555554,0.0,46.92240047097205,130.53830004498926,3,True,,V6_HIQ_TR_VOL_MARKOV_F7,g_tr_stack_full_with&g_vol_high&g_above_1h_dailyvwap_with&g_offset_early&g_markov_with&g_pw_f7_rsi_momentum_with,HUR22,6
58,0.7586206896551724,390.35682203079443,6.730290035013697,36,0.7222222222222222,6.564964986653931,236.33873951954152,6,0.5,-3.670493166527885,-22.022958999167308,16,0.9375,11.002565094401266,176.04104151042026,75.0,3,7.884839232922021,2.761904761904762,0.0,105.32326736733705,246.7588156535034,4,True,,V6_S1_PW_MARKOV,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_pw_markov_with,HUR22,5
90,0.7444444444444445,685.9996881398326,7.622218757109252,51,0.7058823529411765,6.997374990103838,356.8661244952957,13,0.6923076923076923,3.8764930789150887,50.39441002589615,26,0.8461538461538461,10.720736677640037,278.73915361864096,100.0,4,10.401029678445921,4.285714285714286,0.0,115.74031140498322,441.73799583229857,4,True,,V6_S1_VWAP_3070,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_entry_vwap_in_30_70,HUR22,5
61,0.7377049180327869,344.05422014750036,5.640233117172137,38,0.6842105263157895,4.546896936786086,172.78208359787126,6,0.6666666666666666,-0.8479102142654681,-5.087461285592808,17,0.8823529411764706,10.37409399030717,176.35959783522188,100.0,4,7.530957416069976,3.388888888888889,0.0,82.57637975524285,293.758749782881,3,True,,V6_S1_PW_CVD,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_pw_cvd_with,HUR22,5
43,0.813953488372093,403.52822900877885,9.38437741880881,20,0.8,11.612804622957487,232.25609245914973,6,0.6666666666666666,-0.8479102142654681,-5.087461285592808,17,0.8823529411764706,10.37409399030717,176.35959783522188,50.0,2,11.76378643209673,3.0714285714285716,0.0,82.57637975524285,293.758749782881,3,True,,V6_S1_DOWN_ONLY,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_dir_down,HUR22,5
106,0.7830188679245284,781.9069606941251,7.376480761265332,59,0.7457627118644068,6.996370834569789,412.78587923961754,15,0.7333333333333333,4.097017594512222,61.45526391768333,32,0.875,9.614556798025763,307.6658175368244,100.0,4,11.581418258708624,5.0476190476190474,0.0,156.94670620708922,458.3849288665597,4,True,,V6_S1_BOOK25,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_book_supports_25,HUR22,5
107,0.7850467289719626,782.9277945978937,7.31708219250368,59,0.7457627118644068,6.996370834569789,412.78587923961754,15,0.7333333333333333,4.097017594512222,61.45526391768333,33,0.8787878787878788,9.354140952745238,308.68665144059287,100.0,4,11.594974948160486,5.095238095238095,0.0,158.98837401462606,458.3849288665597,4,True,,V5_S1_REPL,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high,HUR22,4
53,0.7924528301886793,361.81876091655346,6.826769073897235,30,0.7666666666666667,7.110398730550743,213.31196191652228,9,0.6666666666666666,2.30051657896768,20.70464921070912,14,0.9285714285714286,9.128724984951575,127.80214978932204,64.99295670360448,3,9.579272486985932,2.65,0.0,63.68428924079069,210.46852729435923,4,True,,V6_S1_PW_F7_MOMO,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_pw_f7_rsi_momentum_with,HUR22,5
64,0.765625,379.3995655891149,5.92811821232992,39,0.717948717948718,4.628968891806865,180.52978678046776,9,0.7777777777777778,7.39363613369735,66.54272520327615,16,0.875,8.270440850335685,132.32705360537096,114.99295670360448,4,10.105453038670229,4.0,0.0,31.28329824694591,233.37080896379604,4,True,,V6_S1_UP_ONLY,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_dir_up,HUR22,5
110,0.7090909090909091,487.47353564921764,4.43157759681107,69,0.7391304347826086,5.998499565591713,413.8964700258282,18,0.5555555555555556,-2.6120224680453283,-47.01640442481591,19,0.7894736842105263,7.928001739283594,150.6320330463883,75.0,3,7.538249815431651,3.5483870967741935,0.016,21.86910233130598,261.0339324266869,5,True,,V6_S5_HOD_EU,g_tr_stack_full_with&g_offset_early&g_above_1h_dailyvwap_with&g_hod_european_morning,MP31,4
211,0.6824644549763034,732.2944600465978,3.4705898580407477,125,0.672,3.757557648389755,469.69470604871935,40,0.6,-0.7002642743571824,-28.010570974287297,41,0.7804878048780488,6.113003698332702,250.63315163164077,172.65185766352107,4,8.405373059208411,7.275862068965517,0.034,-12.43707014117195,462.12038425592397,5,True,,V6_S5_PW_TREND_SLOPE,g_tr_stack_full_with&g_offset_early&g_above_1h_dailyvwap_with&g_pw_trend_slope_with,MP31,4
205,0.7024390243902439,839.809935670362,4.096633832538352,111,0.7207207207207207,5.217189126119559,579.107992999271,48,0.625,0.7424327477011371,35.63677188965458,41,0.7560975609756098,5.3335239267186765,218.67448099546573,167.25253164712962,3,7.307793527461353,6.40625,0.089,-161.89792958148826,548.9184222046795,5,True,,V6_S5_DOWN_ONLY,g_tr_stack_full_with&g_offset_early&g_above_1h_dailyvwap_with&g_dir_down,MP31,4
141,0.6312056737588653,519.9007837508568,3.6872396010699067,95,0.6421052631578947,4.934775671365609,468.80368877973285,24,0.5,-2.4298651306174484,-58.316763134818764,22,0.7272727272727273,4.97335718663376,109.41385810594272,189.8690193607751,3,5.474606021440897,4.548387096774194,0.061,-12.608380000141864,225.32243035657518,5,True,,V5_S3_REPL,g_above_1h_dailyvwap_with&g_offset_early&g_rf_aged&g_ribbon_slope_with,FULL,4
101,0.693069306930693,387.6006534162483,3.8376302318440425,76,0.6710526315789473,3.7203029037432,282.7430206844832,14,0.7142857142857143,2.8294534272627203,39.612347981678084,10,0.8,4.891195303932449,48.91195303932449,126.72610736387713,3,5.952132463462204,3.4827586206896552,0.061,-22.256460829649953,120.08036690829891,4,True,,V6_S5_HOD_US,g_tr_stack_full_with&g_offset_early&g_above_1h_dailyvwap_with&g_hod_us_morning,MP31,4
