stack,depth,n_tr,wr_tr,dpt_tr,dd_tr,ls_tr,n_v,wr_v,dpt_v,dd_v,ls_v,n_l,wr_l,dpt_l,dd_l,ls_l,sum_l,score_l
g_cci_strong_with|g_f7_rsi_with|g_mfi_with|g_tr_partial_stack_with|g_vwap_in_45_85,5,61,0.8032786885245902,3.1010450270491545,108.70212164995507,2,38,0.7894736842105263,2.782332810655907,50.0,2,87,0.8390804597701149,4.617816631533966,92.06973661961979,3,401.75004694345506,43.07212611997507
g_cci_strong_with|g_f7_rsi_with|g_mfi_with|g_tr_above_cloud|g_vwap_in_45_85,5,61,0.8032786885245902,3.1010450270491545,108.70212164995507,2,38,0.7894736842105263,2.782332810655907,50.0,2,87,0.8390804597701149,4.617816631533966,92.06973661961979,3,401.75004694345506,43.07212611997507
g_cci_strong_with|g_f7_rsi_with|g_mfi_with|g_tr_above_ema200|g_vwap_in_45_85,5,61,0.8032786885245902,3.1010450270491545,108.70212164995507,2,38,0.7894736842105263,2.782332810655907,50.0,2,87,0.8390804597701149,4.617816631533966,92.06973661961979,3,401.75004694345506,43.07212611997507
g_f7_rsi_with|g_favorite|g_mp_wt_no_extreme_100|g_ribbon_agrees|g_vwap_in_45_85,5,23,0.782608695652174,3.796632041598902,68.9264201546115,2,12,0.6666666666666666,-2.5834524440704905,75.0,3,67,0.8208955223880597,5.109132985205964,76.1839633859794,3,342.31191000879954,41.8200558423206
g_cci_strong_with|g_f7_rsi_with|g_mp_wt_no_extreme_100|g_tr_above_ema50|g_vwap_in_45_85,5,20,0.8,4.930661466787866,50.0,2,9,0.6666666666666666,-2.4564170325402097,50.0,2,55,0.8363636363636363,5.623149676190938,51.183963385979396,2,309.2732321905016,41.702394121279696
g_cci_strong_with|g_f7_rsi_with|g_mp_wt_no_extreme_100|g_vwap_in_45_85,4,20,0.8,4.930661466787866,50.0,2,9,0.6666666666666666,-2.4564170325402097,50.0,2,55,0.8363636363636363,5.623149676190938,51.183963385979396,2,309.2732321905016,41.702394121279696
g_R1_five|g_cci_strong_with|g_f7_rsi_with|g_mp_wt_no_extreme_100|g_vwap_in_45_85,5,20,0.8,4.930661466787866,50.0,2,9,0.6666666666666666,-2.4564170325402097,50.0,2,55,0.8363636363636363,5.623149676190938,51.183963385979396,2,309.2732321905016,41.702394121279696
g_cci_strong_with|g_f7_rsi_with|g_mp_wt_no_extreme_100|g_ribbon_agrees|g_vwap_in_45_85,5,20,0.8,4.930661466787866,50.0,2,9,0.6666666666666666,-2.4564170325402097,50.0,2,55,0.8363636363636363,5.623149676190938,51.183963385979396,2,309.2732321905016,41.702394121279696
g_bb_pos_with|g_cci_strong_with|g_f7_rsi_with|g_mp_wt_no_extreme_100|g_vwap_in_45_85,5,20,0.8,4.930661466787866,50.0,2,9,0.6666666666666666,-2.4564170325402097,50.0,2,55,0.8363636363636363,5.623149676190938,51.183963385979396,2,309.2732321905016,41.702394121279696
g_cci_strong_with|g_ev_ge_30|g_f7_rsi_with|g_mp_wt_no_extreme_100|g_vwap_in_45_85,5,20,0.8,4.930661466787866,50.0,2,9,0.6666666666666666,-2.4564170325402097,50.0,2,55,0.8363636363636363,5.623149676190938,51.183963385979396,2,309.2732321905016,41.702394121279696
g_cci_strong_with|g_f7_rsi_with|g_mp_no_extreme_150|g_mp_wt_no_extreme_100|g_vwap_in_45_85,5,20,0.8,4.930661466787866,50.0,2,9,0.6666666666666666,-2.4564170325402097,50.0,2,55,0.8363636363636363,5.623149676190938,51.183963385979396,2,309.2732321905016,41.702394121279696
g_cci_strong_with|g_cci_with|g_f7_rsi_with|g_mp_wt_no_extreme_100|g_vwap_in_45_85,5,20,0.8,4.930661466787866,50.0,2,9,0.6666666666666666,-2.4564170325402097,50.0,2,55,0.8363636363636363,5.623149676190938,51.183963385979396,2,309.2732321905016,41.702394121279696
g_f7_rsi_with|g_mp_no_extreme_150|g_tr_above_ema200|g_vwap_in_55_80,4,64,0.765625,2.865879468229633,90.9846436187454,3,32,0.78125,2.650612888544843,50.23387033328111,2,95,0.8210526315789474,4.231881612991661,96.11937908524621,3,402.02875323420784,41.24727977340816
g_f7_rsi_with|g_mfi_with|g_tr_above_ema200|g_vwap_in_55_80,4,41,0.7560975609756098,2.0281063974934157,109.18765642148603,2,27,0.7777777777777778,2.39689223328171,50.23387033328111,2,78,0.8333333333333334,4.65764870114027,64.10659976041318,2,363.29659868894106,41.13523952783337
g_f7_rsi_with|g_mp_no_extreme_150|g_ribbon_agrees|g_vwap_in_55_80,4,65,0.7692307692307693,2.853626087792721,90.9846436187454,3,32,0.78125,2.648825574709833,50.23387033328111,2,99,0.8181818181818182,4.117097624485862,96.11937908524621,3,407.5926648241004,40.96460413704941
g_f7_rsi_with|g_mp_wt_no_extreme_100|g_ribbon_agrees|g_vwap_in_45_85,4,23,0.782608695652174,3.796632041598902,68.9264201546115,2,12,0.6666666666666666,-2.5834524440704905,75.0,3,71,0.8028169014084507,4.830394478636707,76.1839633859794,3,342.95800798320624,40.70162734051703
g_f7_rsi_with|g_mp_no_extreme_150|g_mp_wt_no_extreme_100|g_ribbon_agrees|g_vwap_in_45_85,5,23,0.782608695652174,3.796632041598902,68.9264201546115,2,12,0.6666666666666666,-2.5834524440704905,75.0,3,71,0.8028169014084507,4.830394478636707,76.1839633859794,3,342.95800798320624,40.70162734051703
g_ev_ge_30|g_f7_rsi_with|g_mp_wt_no_extreme_100|g_ribbon_agrees|g_vwap_in_45_85,5,23,0.782608695652174,3.796632041598902,68.9264201546115,2,12,0.6666666666666666,-2.5834524440704905,75.0,3,71,0.8028169014084507,4.830394478636707,76.1839633859794,3,342.95800798320624,40.70162734051703
g_bb_pos_strong_with|g_f7_rsi_with|g_vwap_in_55_80,3,64,0.765625,2.924356385265718,71.16484433515151,2,28,0.8214285714285714,3.8633996061569724,43.79268053865134,1,77,0.8311688311688312,4.626578112637939,89.10659976041316,3,356.24651467312134,40.598058173885775
g_bb_pos_strong_with|g_f7_rsi_with|g_vwap_in_45_85|g_vwap_in_55_80,4,64,0.765625,2.924356385265718,71.16484433515151,2,28,0.8214285714285714,3.8633996061569724,43.79268053865134,1,77,0.8311688311688312,4.626578112637939,89.10659976041316,3,356.24651467312134,40.598058173885775
g_bb_pos_strong_with|g_bb_pos_with|g_f7_rsi_with|g_vwap_in_55_80,4,64,0.765625,2.924356385265718,71.16484433515151,2,28,0.8214285714285714,3.8633996061569724,43.79268053865134,1,77,0.8311688311688312,4.626578112637939,89.10659976041316,3,356.24651467312134,40.598058173885775
g_bb_pos_strong_with|g_f7_rsi_with|g_tr_above_ema50|g_vwap_in_55_80,4,64,0.765625,2.924356385265718,71.16484433515151,2,28,0.8214285714285714,3.8633996061569724,43.79268053865134,1,77,0.8311688311688312,4.626578112637939,89.10659976041316,3,356.24651467312134,40.598058173885775
g_bb_pos_strong_with|g_ev_ge_30|g_f7_rsi_with|g_vwap_in_55_80,4,64,0.765625,2.924356385265718,71.16484433515151,2,28,0.8214285714285714,3.8633996061569724,43.79268053865134,1,77,0.8311688311688312,4.626578112637939,89.10659976041316,3,356.24651467312134,40.598058173885775
g_bb_pos_strong_with|g_f7_rsi_with|g_favorite|g_vwap_in_55_80,4,64,0.765625,2.924356385265718,71.16484433515151,2,28,0.8214285714285714,3.8633996061569724,43.79268053865134,1,77,0.8311688311688312,4.626578112637939,89.10659976041316,3,356.24651467312134,40.598058173885775
g_bb_pos_strong_with|g_cci_with|g_f7_rsi_with|g_vwap_in_55_80,4,64,0.765625,2.924356385265718,71.16484433515151,2,28,0.8214285714285714,3.8633996061569724,43.79268053865134,1,77,0.8311688311688312,4.626578112637939,89.10659976041316,3,356.24651467312134,40.598058173885775
g_cci_strong_with|g_f7_rsi_with|g_mp_wt_no_extreme_100|g_tr_partial_stack_with|g_vwap_in_45_85,5,20,0.8,4.930661466787866,50.0,2,9,0.6666666666666666,-2.4564170325402097,50.0,2,54,0.8333333333333334,5.5238283712987535,51.183963385979396,2,298.2867320501327,40.591682809173015
g_cci_strong_with|g_f7_rsi_with|g_mp_wt_no_extreme_100|g_tr_above_cloud|g_vwap_in_45_85,5,20,0.8,4.930661466787866,50.0,2,9,0.6666666666666666,-2.4564170325402097,50.0,2,54,0.8333333333333334,5.5238283712987535,51.183963385979396,2,298.2867320501327,40.591682809173015
g_cci_strong_with|g_f7_rsi_with|g_mp_wt_no_extreme_100|g_tr_above_ema200|g_vwap_in_45_85,5,20,0.8,4.930661466787866,50.0,2,9,0.6666666666666666,-2.4564170325402097,50.0,2,54,0.8333333333333334,5.5238283712987535,51.183963385979396,2,298.2867320501327,40.591682809173015
g_cci_strong_with|g_f7_rsi_with|g_mfi_with|g_vwap_in_45_85,4,61,0.8032786885245902,3.1010450270491545,108.70212164995507,2,38,0.7894736842105263,2.782332810655907,50.0,2,88,0.8295454545454546,4.281250533448352,92.06973661961979,3,376.750046943455,40.16168994767723
g_bb_pos_with|g_cci_strong_with|g_f7_rsi_with|g_mfi_with|g_vwap_in_45_85,5,61,0.8032786885245902,3.1010450270491545,108.70212164995507,2,38,0.7894736842105263,2.782332810655907,50.0,2,88,0.8295454545454546,4.281250533448352,92.06973661961979,3,376.750046943455,40.16168994767723
g_cci_strong_with|g_f7_rsi_with|g_mfi_with|g_tr_above_ema50|g_vwap_in_45_85,5,61,0.8032786885245902,3.1010450270491545,108.70212164995507,2,38,0.7894736842105263,2.782332810655907,50.0,2,88,0.8295454545454546,4.281250533448352,92.06973661961979,3,376.750046943455,40.16168994767723
g_cci_strong_with|g_f7_rsi_with|g_mfi_with|g_ribbon_agrees|g_vwap_in_45_85,5,61,0.8032786885245902,3.1010450270491545,108.70212164995507,2,38,0.7894736842105263,2.782332810655907,50.0,2,88,0.8295454545454546,4.281250533448352,92.06973661961979,3,376.750046943455,40.16168994767723
g_cci_strong_with|g_cci_with|g_f7_rsi_with|g_mfi_with|g_vwap_in_45_85,5,61,0.8032786885245902,3.1010450270491545,108.70212164995507,2,38,0.7894736842105263,2.782332810655907,50.0,2,88,0.8295454545454546,4.281250533448352,92.06973661961979,3,376.750046943455,40.16168994767723
g_R1_five|g_cci_strong_with|g_f7_rsi_with|g_mfi_with|g_vwap_in_45_85,5,61,0.8032786885245902,3.1010450270491545,108.70212164995507,2,38,0.7894736842105263,2.782332810655907,50.0,2,88,0.8295454545454546,4.281250533448352,92.06973661961979,3,376.750046943455,40.16168994767723
g_cci_strong_with|g_ev_ge_30|g_f7_rsi_with|g_mfi_with|g_vwap_in_45_85,5,61,0.8032786885245902,3.1010450270491545,108.70212164995507,2,38,0.7894736842105263,2.782332810655907,50.0,2,88,0.8295454545454546,4.281250533448352,92.06973661961979,3,376.750046943455,40.16168994767723
g_bb_pos_with|g_f7_rsi_with|g_mp_no_extreme_150|g_mp_wt_no_extreme_100|g_vwap_in_55_80,5,19,0.8421052631578947,6.655966480314054,25.0,1,10,0.6,-4.157936332778167,75.0,3,48,0.8541666666666666,5.765387628552748,51.183963385979396,2,276.7386061705319,39.943777191929605
g_ev_ge_30|g_f7_rsi_with|g_mp_wt_no_extreme_100|g_ribbon_agrees|g_vwap_in_55_80,5,19,0.8421052631578947,6.655966480314054,25.0,1,10,0.6,-4.157936332778167,75.0,3,48,0.8541666666666666,5.765387628552748,51.183963385979396,2,276.7386061705319,39.943777191929605
g_bb_pos_with|g_ev_ge_30|g_f7_rsi_with|g_mp_wt_no_extreme_100|g_vwap_in_55_80,5,19,0.8421052631578947,6.655966480314054,25.0,1,10,0.6,-4.157936332778167,75.0,3,48,0.8541666666666666,5.765387628552748,51.183963385979396,2,276.7386061705319,39.943777191929605
g_bb_pos_with|g_f7_rsi_with|g_favorite|g_mp_wt_no_extreme_100|g_vwap_in_55_80,5,19,0.8421052631578947,6.655966480314054,25.0,1,10,0.6,-4.157936332778167,75.0,3,48,0.8541666666666666,5.765387628552748,51.183963385979396,2,276.7386061705319,39.943777191929605
