sleeve_id,path,gate_stack,n_full,n_train,n_val,n_lockbox,wr_train,wr_val,wr_lockbox,wr_full,dpt_25_train,dpt_25_val,dpt_25_lockbox,dpt_25_full,sum_25_lockbox,sum_25_full,max_dd_25_lockbox,max_dd_25_full,loss_streak_lockbox,loss_streak_full,sharpe_lockbox,sharpe_full,n_32d_proj_lockbox,n_32d_proj_full,bootstrap_p_lockbox,proj_32d,proj_full,proj_honest,objective,pass,fail_reason
L_g_1h_rf_with+g_imb5_strong_with+g_rf_with,L_grandparent_1h,g_1h_rf_with+g_imb5_strong_with+g_rf_with,1509,786,363,360,0.767175572519084,0.71900826446281,0.6888888888888889,0.7369118621603711,3.461642032607192,6.78840545598218,5.111243510332489,4.655460226554327,1840.0476637196962,7025.08948187048,228.0949974000365,805.3125701671335,6,11,13.767407667368994,11.839585626257449,1801.4517210193114,1509.0,0.0,9207.65841823725,7025.08948187048,7025.08948187048,96.97902701043023,True,PASS
L_g_1h_rf_with+g_imb5_strong_with+g_ribbon_agrees,L_grandparent_1h,g_1h_rf_with+g_imb5_strong_with+g_ribbon_agrees,1509,781,374,354,0.8079385403329066,0.7807486631016043,0.7542372881355932,0.7886017229953611,3.604755006071416,3.790805729424076,6.187800509176818,4.256829942210056,2190.4813802485937,6423.5563827949745,300.3816663249514,425.0,6,17,14.89465319853022,13.171693700575805,1771.4275256689896,1509.0,0.0,10961.240145304404,6423.556382794975,6423.556382794975,116.42277182769952,True,PASS
L_g_1h_rf_with+g_imb5_strong_with+g_tr_above_ema200,L_grandparent_1h,g_1h_rf_with+g_imb5_strong_with+g_tr_above_ema200,1527,797,370,360,0.8105395232120451,0.7918918918918919,0.7444444444444445,0.7904387688277669,3.529389213726912,3.9230518866078454,5.5662276129891755,4.1049733739760015,2003.8419406761031,6268.294342061355,260.2149680663457,453.9067306715451,6,17,13.328037539249278,12.764143150102743,1801.4517210193114,1527.0,0.0,10027.290313004563,6268.294342061355,6268.294342061355,105.6117433918082,True,PASS
Q_g_parent_15m_slope_with+g_trend_slope_strong_with+g_vol_high,Q_parent_15m,g_parent_15m_slope_with+g_trend_slope_strong_with+g_vol_high,1772,1010,439,323,0.7336633663366336,0.7585421412300684,0.8173374613003096,0.755079006772009,2.435209561502469,-1.7685666051626447,8.950849706917133,2.581425153942058,2891.124455334234,4574.285372785327,342.1325779022436,1560.7314385671875,11,46,18.87306725197978,4.587982452512696,1616.3025163589932,1772.0,0.0,14467.280904841318,4574.285372785327,4574.285372785327,160.86646786602043,True,PASS
Q_g_parent_15m_slope_with+g_trend_slope_strong_with+g_imb5_strong_with,Q_parent_15m,g_parent_15m_slope_with+g_trend_slope_strong_with+g_imb5_strong_with,657,348,121,188,0.6954022988505747,0.7520661157024794,0.7553191489361702,0.7229832572298326,2.232443657838021,2.569947370625764,15.880091532281265,6.199864890170817,2985.4572080688777,4073.3112328422267,304.37007628708454,913.367732778342,9,10,17.44559729186977,6.603437447493435,940.7581209767515,657.0,0.0,14939.325070847744,4073.311232842226,4073.311232842226,217.73684513614742,True,PASS
J_g_2asset_btc_eth_with+g_trend_slope_strong_with+g_queue_top_high,J_confluence,g_2asset_btc_eth_with+g_trend_slope_strong_with+g_queue_top_high,1673,810,475,388,0.8654320987654321,0.848421052631579,0.8221649484536082,0.8505678421996413,1.308037218309505,-0.5686737964030747,7.1678404038163634,2.134197352193657,2781.122076680749,3570.5121702199876,316.26148359651944,1204.2070787116515,8,29,13.5194397700852,5.3620347695994734,1941.5646326541469,1673.0,0.0,13916.82542055927,3570.5121702199876,3570.5121702199876,141.19008176631226,True,PASS
Q_g_parent_15m_regime_with+g_ribbon_agrees+g_hurst_trending,Q_parent_15m,g_parent_15m_regime_with+g_ribbon_agrees+g_hurst_trending,733,286,164,283,0.8321678321678322,0.8414634146341463,0.8869257950530035,0.8553888130968622,1.5234076147683093,2.1184971501744188,9.835547348509994,4.865740805021377,2783.4598996283285,3566.5880100806694,300.7097231251423,418.60191674736427,10,11,17.36229396916352,7.578032039008816,1416.1412140235143,732.9999999999999,0.003,13928.5239627047,3566.5880100806694,3566.5880100806694,165.45951660594594,True,PASS
J_g_2asset_btc_sol_with+g_trend_slope_strong_with+g_queue_top_high,J_confluence,g_2asset_btc_sol_with+g_trend_slope_strong_with+g_queue_top_high,1530,741,445,344,0.8744939271255061,0.8404494382022472,0.8168604651162791,0.8516339869281045,1.5747358187528966,-0.6382652896849593,7.459077303725231,2.254100509978803,2565.9225924814796,3448.773780267569,187.17588054841974,1234.0985697858464,6,29,13.734693639930287,5.717590109091333,1721.3872000851197,1530.0,0.0,12839.96019507804,3448.7737802675683,3448.7737802675683,138.34527448631707,True,PASS
J_g_3asset_unanimity_with+g_trend_slope_strong_with+g_queue_top_high,J_confluence,g_3asset_unanimity_with+g_trend_slope_strong_with+g_queue_top_high,1493,714,439,340,0.8725490196078431,0.8428246013667426,0.8264705882352941,0.8533154722036169,1.3551041668881445,-0.5388843010240949,7.840948801416117,2.275215512049589,2665.9225924814796,3396.896759490037,187.17588054841974,1185.8829928118328,6,29,14.585847800318065,5.5842640685232325,1701.371069851572,1493.0,0.0,13340.363450916739,3396.896759490037,3396.896759490037,144.57995212402653,True,PASS
Q_g_parent_15m_slope_with+g_ribbon_agrees+g_lm_high_stat,Q_parent_15m,g_parent_15m_slope_with+g_ribbon_agrees+g_lm_high_stat,541,251,167,123,0.749003984063745,0.9161676646706587,0.9349593495934959,0.8428835489833642,4.478562081257239,10.305617893481699,5.435116911018271,6.4947812396714575,668.5193800552473,3513.6766506622585,124.50000048656852,821.4116162491515,3,31,16.30253860205134,9.157440850529266,615.496004681598,541.0,0.005,3345.2927437091344,3513.6766506622585,3345.2927437091344,60.27836251825133,True,PASS
